Date,Close,High,Open,Low
2023.02.16 18:00:00,1.06682,1.06912,1.06832,1.06732
2023.02.16 19:00:00,1.0678,1.06961,1.0693,1.0683
2023.02.16 20:00:00,1.06833,1.06962,1.06921,1.06929
2023.02.16 21:00:00,1.06895,1.06976,1.06904,1.06921
2023.02.16 22:00:00,1.06694,1.0691,1.06737,1.06902
2023.02.16 23:00:00,1.067,1.06756,1.06716,1.06737
2023.02.17 00:00:00,1.06667,1.06742,1.06693,1.0672
2023.02.17 01:00:00,1.06623,1.06695,1.06657,1.06695
2023.02.17 02:00:00,1.0655,1.06656,1.06601,1.06654
2023.02.17 03:00:00,1.06523,1.06656,1.06534,1.06601
2023.02.17 04:00:00,1.06486,1.0655,1.0651,1.06534
2023.02.17 05:00:00,1.06488,1.06557,1.06527,1.06509
2023.02.17 06:00:00,1.06328,1.0653,1.06383,1.06527
2023.02.17 07:00:00,1.06355,1.06407,1.06384,1.06382
2023.02.17 08:00:00,1.06318,1.06389,1.06346,1.06384
2023.02.17 09:00:00,1.06296,1.06464,1.06442,1.06344
2023.02.17 10:00:00,1.06307,1.0647,1.0644,1.06441
2023.02.17 11:00:00,1.06357,1.06613,1.0637,1.0644
2023.02.17 12:00:00,1.06326,1.06447,1.06417,1.06369
2023.02.17 13:00:00,1.06238,1.06421,1.06258,1.06417
2023.02.17 14:00:00,1.06128,1.06267,1.06201,1.06258
2023.02.17 15:00:00,1.06202,1.06439,1.06413,1.06202
2023.02.17 16:00:00,1.06368,1.06557,1.06404,1.06413
2023.02.17 17:00:00,1.06404,1.06822,1.06622,1.06404
2023.02.17 18:00:00,1.06568,1.06796,1.06771,1.06622
2023.02.17 19:00:00,1.06769,1.06939,1.06786,1.06772
2023.02.17 20:00:00,1.06776,1.06909,1.06855,1.06789
2023.02.17 21:00:00,1.06855,1.0697,1.06964,1.06856
2023.02.17 22:00:00,1.06935,1.06985,1.06948,1.06964
2023.02.17 23:00:00,1.06925,1.06977,1.06935,1.0695
2023.02.20 00:00:00,1.06834,1.0693,1.06898,1.06848
